Grapheme	IPA	Frequency	Languages	Examples
-	+				
'a	ʔ a	1	Fulfulde	gi'al
'o	ʔ o	1	Fulfulde	go'o
'u	ʔ u	1	Fulfulde	si'u-de
+	+	1	Tiranige_Diga	dùmà+yò:gé
_	+	664	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	balaken_kewal, buutu_tuwal, bà:rá_tí:
a	a	111	Bambara, Fulfulde, Songhai_Kiini	abbi-raaɗo, aduna, albalda
aa	aː	58	Fulfulde	abbi-raaɗo, baafal, bilaaru
aay	aːi	1	Fulfulde	maay-de
ààⁿ	ààⁿ/ãː
ùùⁿ	ùùⁿ/ũː
ììⁿ	ììⁿ/ĩː
aayo	aː j o	1	Fulfulde	maayo
ai	ai	1	Bambara	kai
ay	ai	4	Fulfulde	baylo, jeenay, naywu-de
ayi	a j i	1	Fulfulde	nayi
a᷆ⁿ	ã	1	Jenaama	kūla᷆ⁿ
a᷈	ãu	1	Bankan_Tey	ma᷈wⁿ
a᷈:	aː 	2	Ben_Tey, Najamba	a᷈:, wa᷈:w
a᷈:ⁿ	ãː	2	Bankan_Tey, Ben_Tey	ta᷈:ⁿ
aⁿ	ã	2	Bambara	kaⁿga, mugaⁿ
b	b	966	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	albalda, baafal, balaken_kewal
bb	bː	8	Fulfulde, Songhai_Kiini, Songhai_Senni	abbi-raaɗo, dá:bbà, dá:bbà:
bw	bʷ	1	Jenaama	kwālà_bwɛ́
c	tʃ	90	Bambara, Bangime, Bankan_Tey, Ben_Tey, Fulfulde, Jamsay, Jenaama, Mombo, Perge_Tegu, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Toro_Tegu, Yanda_Dom	bɔ̀rcì_ní, bɔ̀rɔ̀_cé:ŋ, caggal
cc	tʃː	5	Fulfulde	beccal, feccu-de, maccu-ɗo
