Grapheme	IPA	Frequency	Languages	Examples
d	d	1143	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	aduna, albalda, asu-de
dd	dː	15	Fulfulde, Mombo, Songhai_Kiini, Songhai_Senni, Tebul_Ure	goddo-l, gɔ́d-dɛ̀, hedde
dw	dʷ	7	Bangime, Mombo, Najamba, Penange, Tiranige_Diga	dw-ɛ̂:, dwàà, dwɛ̀:
e	e	191	Bambara, Fulfulde, Tiranige_Diga	asu-de, balaken_kewal, bannge
ee	eː	17	Bambara, Fulfulde	boɗee-jo, daanee-jo, feɗeendu
eⁿ	ẽ	1	Bambara	yeleⁿ
f	f	102	Bambara, Bunoge, Fulfulde, Jamsay, Mombo, Najamba, Penange, Songhai_Kiini, Songhai_Senni, Toro_Tegu	baafal, bòné_fùtù, cofal
g	g	1211	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bannge, bogooru, buuw-irgal
gg	gː	6	Fulfulde, Songhai_Senni, Tebul_Ure	caggal, doggu-de, nagge
gw	gʷ	7	Bunoge, Mombo, Najamba, Tebul_Ure, Tiranige_Diga	gwà:ⁿ_cìnǎ:, gwá:ⁿ, gwé
h	h	112	Bambara, Bangime, Bunoge, Fulfulde, Jenaama, Penange, Songhai_Kiini, Songhai_Senni, Togo_Kan, Toro_Tegu	gànjì_hày, haabu, haako
i	i	75	Bambara, Fulfulde, Najamba, Tebul_Ure	abbi-raaɗo, amiiri, bilaaru
ii	iː	13	Fulfulde	amiiri, dibiire, fiiru-de
iy	i	2	Fulfulde	ndiy-am, wiyde
iⁿ	ĩ	4	Bambara, Togo_Kan	biⁿ, kiniⁿ, kiⁿ
j	dʒ	513	Bambara, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	boɗee-jo, bàjá, bànjî
jj	dʒː	5	Bunoge, Fulfulde, Penange	nèjjé, tájjé, wujju-de
jw	dʒʷ	2	Mombo, Penange	jwè:, jwé:
k	k	981	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	balaken_kewal, bananku, bà:kò
kk	kː	3	Fulfulde, Songhai_Senni	hokku-de, lekki, tákkê
kw	kʷ	13	Bambara, Bangime, Jenaama, Najamba, Penange, Tebul_Ure	kwe, kwee, kwàⁿ
l	l	797	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	albalda, baafal, balaken_kewal
ll	lː	20	Bambara, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Perge_Tegu, Tebul_Ure, Tommo_So, Yanda_Dom, Yorno_So	bállà, bòràllà-gà, collal
m	m	1129	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	amiiri, barmu-de, bà:mà-yí-m
mm	mː	17	Bankan_Tey, Fulfulde, Songhai_Senni, Tommo_So	dámmá, dìmmú, dɛ̀mmɛ̀_bòndó
ms	m s	4	Songhai_Kiini, Songhai_Senni, Toro_Tegu	húmsú, kùmsò, kúmséy
m̀	m̀/m̩	9	Bangime, Bankan_Tey, Najamba, Tebul_Ure, Togo_Kan, Tommo_So, Yanda_Dom	gìrè_m̀bùló, gìrò_m̀bùlǎ:, m̀bò_sá:
n	n	1600	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	aduna, balaken_kewal, bananku
nn	nː	52	Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Perge_Tegu, Songhai_Senni, Tebul_Ure, Tommo_So, Toro_Tegu	bannge, bon-nde, bánnè
ns	n s	10	Penange, Songhai_Kiini, Songhai_Senni	fánsí, hánsì, hánsó
nw	nʷ	9	Mombo, Penange, Songhai_Senni, Tiranige_Diga	hínw-éyndí, nwá:-gá, nwá:gá
n̄	n	2	Bangime	nɔ̄n̄_ʤɛ̀, ŋàrān̄_dòŋɡò
o	o	81	Bambara, Fulfulde, Najamba	abbi-raaɗo, baylo, bogooru
oo	oː	19	Fulfulde	bogooru, boɓoori, doombru
oy	oi	2	Fulfulde	hoy-de, koyn-gal
oyi	o j i	1	Fulfulde	joyi
o᷆	o᷆/o	1	Jenaama	sùwo᷆
o᷈:	o᷈:/oː	2	Ben_Tey, Nanga	go᷈:, gò_gòrò-go᷈:
o᷈y	o᷈y/oi	1	Ben_Tey	kɔ̀rɔ̀_go᷈y
oⁿu	õu 	1	Bambara	noⁿu
p	p	352	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	gàmpù, gìrè_mpûl, gìrù_pàlá
pp	pː	4	Bankan_Tey, Fulfulde	jippaa-de, leppu-de, sappo
ps	p s	1	Songhai_Senni	kòpsò
q	q	1	Bambara	qúrúngò
r	r	1001	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	abbi-raaɗo, amiiri, barmu-de
rs	r s	3	Bankan_Tey, Ben_Tey, Songhai_Kiini	tàrsì, wɔ̀rsɔ́, àrsɛ̌:
rw	rʷ	2	Perge_Tegu, Songhai_Senni	lá:rwà, lárwê
rⁿ	r̃	252	Bangime, Bankan_Tey, Ben_Tey, Jamsay, Nanga, Perge_Tegu, Tebul_Ure, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	bàrⁿàkú:ⁿ, bàrⁿâyⁿ, bàrⁿí-yⁿà
s	s	597	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	asu-de, busal, bày_sɔ̌y
sw	sʷ	10	Mombo, Najamba, Penange, Tebul_Ure, Yanda_Dom	swà:, swá:, swǎ:
t	t	707	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	buutu_tuwal, bà:rá_tí:, bànàkùl_táná
tt	tː	14	Fulfulde, Penange, Songhai_Senni, Toro_Tegu	fáttá, fúttó, hóttó
tw	tʷ	4	Bangime, Najamba, Yanda_Dom	twàà-rà, twâ:, twây
u	u	161	Bambara, Ben_Tey, Fulfulde, Jamsay, Najamba, Toro_Tegu	aduna, asu-de, bananku
uu	uː	12	Fulfulde	buutu_tuwal, buuw-irgal, duule-re
uy	ui	2	Fulfulde	muy-ni-nde, muynu-de
u᷆	u᷆/u	1	Jenaama	tu᷆
u᷆ⁿ	u᷆ⁿ/ũ	1	Jenaama	bànàⁿku᷆ⁿ
uⁿ	ũ	2	Bambara	duⁿmuⁿni
w	w	322	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	balaken_kewal, buutu_tuwal, buuw-irgal
ws	w s	1	Songhai_Kiini	kɔ̀wsí
ww	wː	2	Penange, Tommo_So	túwwɔ́, wwɛ́:
wⁿ	w̃	77	Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Perge_Tegu, Songhai_Kiini, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yorno_So	bíyɛ̄wⁿ, bāā_sɔ̀wⁿ, cíwⁿɛ́
x	x	1	Bambara	táxá-ndí
y	j	411	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bàlí-yà, bàndǎy, bàryò
ya	j a	3	Fulfulde	yahu-de, yaltu-de, yaru-de
yaa	j aː	2	Fulfulde	yaafaa-de, yaawu-de
ye	j e	2	Bambara, Fulfulde	yeggi-ti-nde, yeleⁿ
yee	j eː	1	Fulfulde	yeeso
yi	j i	3	Fulfulde	yimu-de, yinnu-de, yite-re
yii	j iː	1	Fulfulde	yiite
yiy	j i	1	Fulfulde	yiy-de
yo	j o	3	Fulfulde	yonte-re, yortu-de, yottaa-de
yoo	j oː	1	Fulfulde	yoornu-de
éy-yé	éy/ei + j é/e	1	Bankan_Tey	éy-yé
yá	j á/a	31	Bangime, Bankan_Tey, Ben_Tey, Bunoge, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Senni, Tiranige_Diga, Tommo_So, Yanda_Dom	dìyá, dùyá, dúŋgúrí-yá
yá:	j á:/aː	18	Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	yá:_sìmà, yá:bí, yá:bú-kárⁿá
yáyé	j á/a j é/e	2	Penange, Tiranige_Diga	yáyé, yáyó
yáyó	j á/a j ó/o
yáá	j áá/aː	2	Bangime, Tommo_So	yáámbɛ̀, ɛ́nní-yáá-dɛ̀
yí	j í/i	15	Bangime, Bankan_Tey, Ben_Tey, Nanga, Tebul_Ure, Tommo_So, Toro_Tegu, Yorno_So	bà:mà-yí-m, dùyí-yɔ́, dǔ:yí
yí:	j í:/iː	1	Bunoge	yí:lì
yíyí	j í/i j í/i	1	Bangime	yíyíì
yú	j ú/u	12	Bangime, Bankan_Tey, Ben_Tey, Bunoge, Songhai_Senni, Tebul_Ure, Tommo_So, Toro_Tegu, Yorno_So	túŋgú-yú, yú, yúbdá
yú:	j ú:/uː	3	Perge_Tegu, Tiranige_Diga, Yanda_Dom	yú:, yú:ndó
yúú	j úú/uː	1	Tommo_So	yúú
yū	j ū/u	2	Bangime	yūn-dà, yūrà
yǒ	j ǒ/o	1	Perge_Tegu	yò_yǒŋ
yǒy	j ǒy/oi	1	Bankan_Tey	yǒy
yɔ̀	j ɔ̀/ɔ 	21	Bankan_Tey, Ben_Tey, Jamsay, Mombo, Najamba, Nanga, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	kɔ́nyɔ̀, pìyɔ̀lù, yà_yɔ̀rú
yɔ̀:	j ɔ̀:	2	Penange	yɔ̀:
yɔ́	j ɔ́/ɔ	13	Bankan_Tey, Ben_Tey, Bunoge, Mombo, Perge_Tegu, Tebul_Ure, Tiranige_Diga, Tommo_So	dùyí-yɔ́, dú-yɔ́, kù_kùyɔ́
yɔ̂:	j ɔ̂:/ɔː	2	Mombo	yɔ̂:
yɔ̄	j ɔ̄/ɔː	1	Jenaama	yɔ̄gɔ̄
yɔ̄ⁿ	j ɔ̄ⁿ/ɔ̃	1	Jenaama	tīyɔ̄ⁿ
yɔ̌	j ɔ̌/ɔ	1	Toro_Tegu	yɔ̌w
yɛ̀	j ɛ̀/ɛ	46	Bambara, Bangime, Bunoge, Jamsay, Jenaama, Najamba, Nanga, Penange, Perge_Tegu, Togo_Kan, Tommo_So, Yanda_Dom, Yorno_So	bùyɛ̀, dáɡá-yɛ̀, dúy-yɛ̀
yɛ̀:	j ɛ̀:/ɛː	2	Mombo, Penange	yɛ̀:, yɛ̀:_tá:ŋgù
yɛ́	j ɛ́/ɛ	26	Bankan_Tey, Ben_Tey, Mombo, Najamba, Nanga, Penange, Togo_Kan, Tommo_So, Yanda_Dom	bàrìyɛ́, bìyɛ́, dànní-yɛ́
yɛ́:	j ɛ́:/ɛː	6	Mombo, Yorno_So	dù-yɛ́:, gyɛ́:, gɛ̀zì_tyɛ́:
yɛ̂:	j ɛ̂:/ɛː	3	Mombo	dín-yɛ̂:, dú-yɛ̂:, gɛ́nyɛ̂:
yɛ̄	j ɛ̄/ɛ	5	Bangime, Jenaama	bùyɛ̄, jīyɛ̄_pùwɔ̀, kɔ̀ndì_sīyɛ̄
yɛ̌	j ɛ̌/ɛ	1	Ben_Tey	yɛ̌
yɛ̌:	j ɛ̌:/ɛː	3	Najamba, Perge_Tegu	yɛ̌:
yɛ̌yⁿ	j ɛ̌yⁿ/ɛĩ	1	Yorno_So	yɛ̌yⁿ
yⁿ	j̃	62	Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Tiranige_Diga, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bànǎyⁿ, bàr_měyⁿ, bàrⁿâyⁿ
dāāⁿ	d āāⁿ/ãː
àyⁿá	à/a j̃ á/a	2	Ben_Tey, Toro_Tegu	màyⁿá, àyⁿá
yⁿí	j̃ í/i	1	Ben_Tey	mù:yⁿí
yⁿǒ	j̃ ǒ/o	1	Toro_Tegu	yⁿǒm
yⁿɔ̀	j̃ ɔ̀/ɔ	1	Toro_Tegu	yⁿɔ̀ŋgɛ̌yⁿ
yⁿɔ́	j̃ ɔ́/ɔ	1	Tommo_So	gùyⁿɔ́
yⁿɛ̀	j̃ ɛ̀/ɛ	2	Bangime	kùyⁿɛ̀-rɛ̀, ŋìyⁿɛ̀-rɛ̀
yⁿɛ́	j̃ ɛ́/ɛ	6	Nanga, Perge_Tegu, Tommo_So, Yanda_Dom	bìyⁿɛ́, dìyⁿɛ́, nàrⁿì_yⁿɛ́
yⁿɛ̂	j̃ ɛ̂/ɛ	2	Bankan_Tey, Songhai_Kiini	hàyⁿɛ̂, nàrⁿìyⁿɛ̂-m
yⁿɛ̄	j̃ ɛ̄/ɛ	1	Jenaama	pīyⁿɛ̄-nà
yⁿɛ̌	j̃ ɛ̌/ɛ	1	Bankan_Tey	sìyⁿɛ̌-m
z	z	118	Bankan_Tey, Mombo, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Toro_Tegu, Yanda_Dom	bèzé, bùzé, cérá:_mòr-í:z-ò
à	à/a	1008	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bà, bà:mà-yí-m, bàbà
à:	à:/aː	121	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	bà:, bà:bè, bà:kò
à:s	à:/aː s	5	Bankan_Tey, Ben_Tey, Mombo, Perge_Tegu, Songhai_Kiini	kà:s-ǒ:, kà:sú, pù:sù_pà:sá
à:w	à:/aː w	3	Ben_Tey, Jamsay, Perge_Tegu	là:wà_gín, là:wà_gú-m, là:wà_gú-nú
à:wⁿ	à:/aː w̃	2	Mombo	gà:wⁿě, gà:wⁿě:
à:ⁿ	à:ⁿ/ãː	4	Penange, Tebul_Ure, Toro_Tegu, Yanda_Dom	gwà:ⁿ_cìnǎ:, gà:ⁿ, kùpà:ⁿ_sú
à:ⁿs	à:ⁿ/ãː s	2	Toro_Tegu	dà:ⁿsú, gà:ⁿsú
ààh	àà/aː h	1	Jenaama	bààhú-mā
às	à/a s	17	Bambara, Bankan_Tey, Ben_Tey, Jamsay, Nanga, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Toro_Tegu	bàsá, dèy_sàsò, gàsú
àw	à/a w	11	Bankan_Tey, Ben_Tey, Bunoge, Nanga, Songhai_Kiini, Songhai_Senni, Tommo_So	bàw, bàwná, díyⁿàw
àwⁿ	à/a w̃	17	Bangime, Bankan_Tey, Ben_Tey, Jenaama, Perge_Tegu, Togo_Kan, Toro_Tegu, Yorno_So	bàwⁿú-rⁿù, bàwⁿúrⁿù, bárⁿàwⁿ
àà	àà/aː	24	Bangime, Jenaama, Tommo_So	báràà, dwàà, dàà-ndà
àɕ	à/a ɕ	1	Bangime	àɕɛ́ⁿ
à̰	à̰/a	1	Bambara	sà̰
àⁿ	àⁿ/ã	12	Bambara, Bangime, Jenaama	bànàⁿku᷆ⁿ, bànàⁿkú, bààⁿ
á	á/a	1038	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bà:rá_tí:, bàbá, bàdá
á:	á:/aː	145	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	bàbá:, bànàkù:_bá:gá, bá:
á:y	á:/aː j	3	Bunoge, Songhai_Kiini, Songhai_Senni	gá:yè, má:yò, tá:y
á:yⁿ	á:/aː j̃	1	Penange	dá:yⁿì
á:ⁿ	á:ⁿ/ãː	4	Mombo, Tebul_Ure, Togo_Kan, Yorno_So	bá:ⁿ_wúlè, gwá:ⁿ, ìsán_sá:ⁿ
áy	á/a j	15	Bangime, Bankan_Tey, Bunoge, Mombo, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Yorno_So	báy, dí:ráy, háy
áyɛ̀	á/a j ɛ̀/ɛ	1	Bambara	dáyɛ̀lɛ́
áyⁿ	á/a j̃	3	Penange, Tiranige_Diga	jáyⁿ, káyⁿ, máyⁿ
áá	áá/aː	17	Bambara, Bangime, Jenaama, Tommo_So	báá, báákò, báárá
á̰	á̰/a	2	Bambara	bìlḛ̀-má̰, sá̰jí
áⁿ	áⁿ/ã	19	Bambara, Jenaama, Penange, Togo_Kan	bàláⁿ, báⁿ, dúmáⁿ
â	â/a	44	Bankan_Tey, Ben_Tey, Jamsay, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Togo_Kan, Toro_Tegu, Yorno_So	bàrⁿâyⁿ, bâyⁿ, búsâm
â:	âː/aː	26	Bankan_Tey, Ben_Tey, Bunoge, Mombo, Najamba, Songhai_Kiini, Songhai_Senni, Togo_Kan, Yanda_Dom, Yorno_So	gùrmbâ:, gùrùmâ:, jà_jà-gâ:
â:w	â/a w	1	Ben_Tey	dâ:w
â:wⁿ	â/a w̃	1	Bankan_Tey	wⁿâ:wⁿ
â:ⁿ	â/a	1	Nanga	gâ:ⁿ
âw	â/a w	5	Bankan_Tey, Perge_Tegu, Songhai_Kiini, Yorno_So	fìsâwà:, gâw, ʔùrâw
âwⁿ	â/a w̃	1	Mombo	gâwⁿ
è	è/e	467	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bà:bè, bàndè, bá:ⁿ_wúlè
è:	è:/eː	29	Bunoge, Jamsay, Mombo, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Yanda_Dom, Yorno_So	bè:rì, cè:, cé:lè:
è:s	è:/eː s	5	Bankan_Tey, Ben_Tey, Nanga, Songhai_Kiini	dè:sì, kè:sí, tè:sú-m
è:w	è:/eː w	1	Mombo	sè:wé
è:ⁿ	è:ⁿ/ẽː	1	Songhai_Senni	hè:ⁿ
ès	è/e s	9	Bankan_Tey, Ben_Tey, Nanga, Perge_Tegu, Toro_Tegu	bèsí, cèsú, gèsí
èw	è/e w	5	Bangime, Ben_Tey, Songhai_Kiini, Songhai_Senni, Tiranige_Diga	hèwò, hèwǒ:, kèwòò
èwⁿ	è/e w̃	2	Jenaama, Yorno_So	sèwⁿ, sèwⁿɛ́
é	é/e	478	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bàndí-ŋgé, bànàkù:_béré, bàné
é:	é:/eː	59	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Yanda_Dom, Yorno_So	bé:, bé:né, bɔ̀rɔ̀_cé:ŋ
é:s	é:/eː s	1	Perge_Tegu	pé:sú
é:wⁿ	é:/eː w̃	1	Mombo	gé:wⁿè
é:ⁿ	é:ⁿ/ẽː	3	Mombo, Songhai_Senni	bé:ⁿ, bé:ⁿ_kùlɛ̀, hé:ⁿ
éw	é/e w	4	Jamsay, Nanga, Togo_Kan, Toro_Tegu	léwé, téwé, téwó
éwⁿ	é/e w̃	3	Bunoge	kóbéwⁿ, kúléwⁿ, sé:léwⁿ
éé	éé/eː	5	Bambara, Bangime, Tommo_So	kéérè, néé, pɛ̀ɛ̀néé
éⁿ	éⁿ/ẽ	2	Bambara	bíléⁿ, déⁿ
ê	ê/e	30	Bambara, Bankan_Tey, Jamsay, Nanga, Songhai_Kiini, Songhai_Senni	dêy, dìmbê-y, dòndí-yê
ê:	êː/eː	20	Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Penange	cèlê:, dìmbê:, dɔ̀:wê:
ê:wⁿ	ê:/eː w̃	1	Bunoge	nê:wⁿ
êwⁿ	ê/e w̃	1	Mombo	nêwⁿ
êⁿ	êⁿ/ẽ	1	Bankan_Tey	jè_jêⁿ-m
ì	ì/i	629	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bàrmì_kánì, bàrìmì_kán, bàrìyɛ́
ì:	ì:/iː	30	Bankan_Tey, Ben_Tey, Bunoge, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Yanda_Dom, Yorno_So	bì:mbà, gì:nà, kì:
ì:s	ì:/i s	1	Songhai_Senni	fì:sà
ì:ⁿ	ì:ⁿ/ĩː	3	Jamsay, Penange	nsì:ⁿ, nsì:ⁿ-dì-gà, sì:ⁿlɛ́
ìs	ì/i s	22	Bambara, Bankan_Tey, Ben_Tey, Jenaama, Najamba, Nanga, Songhai_Kiini, Togo_Kan, Tommo_So, Toro_Tegu, Yorno_So	dìsìná:, fìsâwà:, gìsé
ìw	ì/i w	6	Bunoge, Tiranige_Diga, Toro_Tegu	jìwà_nú:, sìwò, ìwà_jíró
