ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Bangime-2_age-1,,Bangime,2_age,ɡwìì,ɡwìì,gʷ ìì/iː,,Hantgan2016,,,^ ɡw ìì $,default
Bankan_Tey-2_age-1,,Bankan_Tey,2_age,pɛ́,pɛ́,p ɛ́/ɛ,,Heath2015,,,^ p ɛ́ $,default
Ben_Tey-2_age-1,,Ben_Tey,2_age,pɛ́,pɛ́,p ɛ́/ɛ,,Heath2015,,,^ p ɛ́ $,default
Bunoge-2_age-1,,Bunoge,2_age,kɛ̀mnɔ̀ kánì,kɛ̀mnɔ̀_kánì,k ɛ̀/ɛ m n ɔ̀/ɔ + k á/a n ì/i,,Heath2015,,,^ k ɛ̀ m n ɔ̀ _ k á n ì $,default
Fulfulde-2_age-1,,Fulfulde,2_age,naywu-de,naywu-de,n ai w u + d e,,Osborn1993,,,^ n ay w u - d e $,default
Jamsay-2_age-1,,Jamsay,2_age,pɛ́:ⁿ,pɛ́:ⁿ,p ɛ́:ⁿ/ɛ̃ː,,Heath2015,,,^ p ɛ́:ⁿ $,default
Mombo-2_age-1,,Mombo,2_age,ká:nú kánì,ká:nú_kánì,k á:/aː n ú/u + k á/a n ì/i,,Heath2015,,,^ k á: n ú _ k á n ì $,default
Najamba-2_age-1,,Najamba,2_age,kúnjɛ́,kúnjɛ́,k ú/u n dʒ ɛ́/ɛ,,Heath2015,,,^ k ú n j ɛ́ $,default
Nanga-2_age-1,,Nanga,2_age,pɛ́:,pɛ́:,p ɛ́:/ɛː,,Heath2015,,,^ p ɛ́: $,default
Penange-2_age-1,,Penange,2_age,ká:mnɔ́ kán,ká:mnɔ́_kán,k á:/aː m n ɔ́/ɔ + k á/a n,,Heath2015,,,^ k á: m n ɔ́ _ k á n $,default
Perge_Tegu-2_age-1,,Perge_Tegu,2_age,pɛ́:,pɛ́:,p ɛ́:/ɛː,,Heath2015,,,^ p ɛ́: $,default
